ID,Drug Name,Targets,Z score,Count,Cell line name,SMILES,cell ID,CPD
1916,AZD5363,"AKT1, AKT2, AKT3, ROCK2",1.2409593210497745,179,HPAC,C1CN(CCC1(C(=O)N[C@@H](CCO)C2=CC=C(C=C2)Cl)N)C3=NC=NC4=C3C=CN4,CVCL_3517,NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1
1922,Cediranib,"VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB",1.2449136587365293,179,HPAC,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,CVCL_3517,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1
2109,AZ6102,"TNKS1, TNKS2",1.2462791843647378,179,HPAC,CCC1=CC2=C(C=C1OC(=O)C(C)(C)C)OC(=C(C2=O)OC3=CC=C(C=C3)I)C(F)(F)F,CVCL_3517,CCc1cc2c(=O)c(Oc3ccc(I)cc3)c(C(F)(F)F)oc2cc1OC(=O)C(C)(C)C
1375,Temozolomide,DNA alkylating agent,1.2462921040378818,179,HPAC,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,CVCL_3517,Cn1nnc2c(C(N)=O)ncn2c1=O
1553,Uprosertib,"AKT1, AKT2, AKT3",1.2968659054945255,179,HPAC,CN1C(=C(C=N1)Cl)C2=C(OC(=C2)C(=O)N[C@@H](CC3=CC(=C(C=C3)F)F)CN)Cl,CVCL_3517,Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2ccc(F)c(F)c2)oc1Cl
1621,PCI-34051,"HDAC8, HDAC6, HDAC1",1.3199480611346646,179,HPAC,COC1=CC=C(C=C1)CN2C=CC3=C2C=C(C=C3)C(=O)NO,CVCL_3517,COc1ccc(Cn2ccc3ccc(C(=O)NO)cc32)cc1
1996,MIM1,MCL1,1.36607788709393,179,HPAC,CC(C)[C@H]1CSC(=N1)N2[C@H](CSC2=S)C(C)C,CVCL_3517,CC(C)[C@H]1CSC(N2C(=S)SC[C@@H]2C(C)C)=N1
1625,RVX-208,BRD4,1.3715510730593274,179,HPAC,C1=CC(=C(C=C1N=C=O)F)F,CVCL_3517,O=C=Nc1ccc(F)c(F)c1
1512,Cyclophosphamide,Alkylating agent,1.3934700896572896,179,HPAC,C1CNP(=O)(OC1)N(CCCl)CCCl,CVCL_3517,O=P1(N(CCCl)CCCl)NCCCO1
1511,Epirubicin,Anthracycline,1.4114540542824423,179,HPAC,C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,CVCL_3517,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1
