SMILES,Supplier Ref,CLNUMBER,PLATE,Capan-2,SW1990,BxPC-3,HPAF-II,CFPAC-1,Panc10.05,AsPC-1,in_plate_selection,positives Capan-2,positives SW1990,positives BxPC-3,positives HPAF-II,positives CFPAC-1,positives Panc10.05,positives AsPC-1,# positives,positives any
Cc1cc(C)nc(SCC(=O)OCC(=O)N2c3ccccc3Sc3ccccc32)n1,6290-0154,CL2436,PLATE_001,9.2381,-3.4731,-7.4133,0.3256,-3.4167,-9.0072,6.2268,0,0,0,0,0,0,0,0,0,0
COc1ccccc1C1CC(=O)C2=C(C1)NC(C)=C(C(=O)OC(C)C)C2c1coc2ccccc2c1=O,5991-0380,CL1588,PLATE_001,9.9521,11.015,-1.5958,5.9735,12.7111,-1.6471,14.711,1,0,0,0,0,0,0,0,0,0
CN(CC(O)Cn1c2ccccc2c2ccccc21)S(=O)(=O)c1ccc(Br)cc1,6295-0015,CL1206,PLATE_001,6.9646,12.1943,-2.0798,4.6356,15.025,-0.1895,2.8988,0,0,0,0,0,0,0,0,0,0
CSc1ccc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccc(C)cc2)C3)cc1,5991-0626,CL2390,PLATE_001,5.5865,-1.0486,2.1308,14.3676,15.6147,-1.8766,-4.7383,0,0,0,0,0,0,0,0,0,0
CCc1ccc([C@@H]2C[C@H](c3cccc(Cl)c3)n3ncnc3N2)cc1,6321-0036,CL0949,PLATE_001,2.574,-6.8834,-6.7085,3.3897,4.1263,-3.0828,-1.9744,0,0,0,0,0,0,0,0,0,0
Cc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2ccc(Br)cc2)cc1,5991-0747,CL2390,PLATE_001,12.0786,2.7047,-1.4072,10.8608,6.601,-4.2942,2.4238,0,0,0,0,0,0,0,0,0,0
CCc1ccc([C@@H]2C[C@H](c3ccc(CC)cc3)n3ncnc3N2)cc1,6321-0180,CL0949,PLATE_001,0.4516,2.17,-1.8917,-2.5205,18.2285,-9.0019,-1.6688,0,0,0,0,0,0,0,0,0,0
CCc1ccc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccc(C)cc2)C3)cc1,5991-0767,CL2390,PLATE_001,11.5699,14.1897,-0.7214,8.9906,11.9069,-3.4265,-6.9208,0,0,0,0,0,0,0,0,0,0
CCOc1ccc([C@@H]2C[C@H](c3ccc(OCC)cc3)n3ncnc3N2)cc1,6321-0193,CL0949,PLATE_001,10.0772,-10.5197,-1.6606,0.9104,0.3751,-10.4355,-3.9847,0,0,0,0,0,0,0,0,0,0
COC(=O)C1=C(C)N=C2SCCC(=O)N2C1c1ccc(Cl)c(Cl)c1,6000-0064,CL1522,PLATE_001,10.5161,9.2387,2.6557,6.111,-5.9667,-4.3288,-5.5499,0,0,0,0,0,0,0,0,0,0
